,pc1,BoringDetails,JobSecurity,RightWrongWay,DifficultCommunication,Type
23701,-1.3323139442691638,2,5,2,1,Desktop applications developer
23747,0.08566950123383324,3,4,3,2,Desktop applications developer
23771,-1.3323139442691638,2,5,3,2,Desktop applications developer
23801,-0.880910157012302,4,3,2,3,Desktop applications developer
23887,2.0877270150230975,5,3,3,2,Desktop applications developer
24098,-0.36573428602302815,2,5,3,3,Desktop applications developer
24108,1.0700901520562303,2,4,3,3,Desktop applications developer
24290,-0.7660808685591572,1,3,2,2,Desktop applications developer
24406,-0.2176887854254132,3,4,5,2,Desktop applications developer
24418,2.2179315230444505,3,5,5,4,Desktop applications developer
24662,0.31286230513206925,3,2,3,2,Desktop applications developer
24666,-0.7839218611354192,2,4,2,3,Desktop applications developer
24717,0.7999480775414544,2,4,1,1,Desktop applications developer
24998,0.7667318653969837,2,2,2,4,Desktop applications developer
25067,-1.3323139442691638,4,5,4,2,Desktop applications developer
25190,-1.3323139442691638,3,2,1,2,Desktop applications developer
25554,-0.462722581899911,2,3,3,2,Desktop applications developer
25578,1.136522576345171,4,4,2,2,Desktop applications developer
25618,0.6519025769438392,4,4,3,3,Desktop applications developer
25625,0.6697435695201008,3,3,2,1,Desktop applications developer
25640,2.5059145901354887,1,4,5,2,Desktop applications developer
25650,0.2004987896869778,1,3,2,2,Desktop applications developer
25671,0.6519025769438392,1,4,3,1,Desktop applications developer
25697,-1.3323139442691638,2,5,4,2,Desktop applications developer
25775,0.7821070849651927,2,3,3,2,Desktop applications developer
26199,-0.33251807387855764,2,5,2,2,Desktop applications developer
26209,-0.3478932934467664,2,4,3,2,Desktop applications developer
26239,0.330703297708331,3,5,2,2,Desktop applications developer
26281,0.6519025769438392,2,4,3,3,Desktop applications developer
26335,-1.3323139442691638,1,1,4,3,Desktop applications developer
26634,1.218135652653845,2,4,2,2,Desktop applications developer
26662,0.10351049381009496,2,4,1,1,Desktop applications developer
26876,-0.880910157012302,2,3,5,2,Desktop applications developer
26933,1.3483401606751986,3,5,3,2,Desktop applications developer
26955,1.233510872222054,3,3,1,2,Desktop applications developer
27071,-0.7660808685591572,5,5,5,5,Desktop applications developer
27122,1.2002946600775835,3,4,4,2,Desktop applications developer
27241,-1.3323139442691638,2,4,2,1,Desktop applications developer
27278,-0.3478932934467664,3,4,2,3,Desktop applications developer
27574,0.2004987896869778,3,4,4,4,Desktop applications developer
27616,0.08566950123383324,2,3,3,2,Desktop applications developer
27707,1.2002946600775835,2,3,3,2,Desktop applications developer
27713,-1.3323139442691638,2,5,2,3,Desktop applications developer
27901,-1.3323139442691638,4,5,3,2,Desktop applications developer
27982,-0.7839218611354192,2,4,1,2,Desktop applications developer
28339,-1.3323139442691638,3,2,5,2,Desktop applications developer
28460,1.5214939393130917,2,3,3,2,Desktop applications developer
28506,0.6519025769438392,4,4,2,2,Desktop applications developer
28538,1.9396815144254826,2,5,5,3,Desktop applications developer
28728,0.2183397822632394,1,2,1,2,Desktop applications developer
28881,-0.7660808685591572,2,4,3,2,Desktop applications developer
28959,-0.19984779284915144,3,4,4,3,Desktop applications developer
28960,0.2004987896869778,3,4,4,2,Desktop applications developer
29020,0.2183397822632394,3,4,2,2,Desktop applications developer
29037,0.2004987896869778,3,4,4,4,Desktop applications developer
29045,-0.2176887854254132,4,3,4,3,Desktop applications developer
29154,-0.31467708130229605,3,5,2,3,Desktop applications developer
29248,-0.23552977800167496,2,5,4,1,Desktop applications developer
29289,1.6695394399107062,2,4,2,3,Desktop applications developer
29367,0.2337150018314483,2,3,2,2,Desktop applications developer
29535,0.6519025769438392,2,4,2,4,Desktop applications developer
29589,0.2004987896869778,3,5,5,4,Desktop applications developer
30044,-1.3323139442691638,2,3,3,2,Desktop applications developer
30089,-0.880910157012302,2,5,4,1,Desktop applications developer
30465,1.7665277357875893,3,5,3,4,Desktop applications developer
30483,0.2337150018314483,2,4,3,2,Desktop applications developer
30820,0.7821070849651927,3,4,4,2,Desktop applications developer
30825,-0.31467708130229605,4,5,4,2,Desktop applications developer
30846,-0.7660808685591572,1,4,2,3,Desktop applications developer
30878,-0.7660808685591572,2,5,3,2,Desktop applications developer
