,Mac OS,Microsoft Azure,SharePoint,Windows Phone,iOS,Serverless,Mainframe,Raspberry Pi,Windows Desktop,Salesforce,Linux Desktop,Amazon Web Services (AWS),Arduino,WordPress,Android
349,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
355,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
357,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
359,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
362,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
363,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
364,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
366,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
370,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
371,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
372,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
373,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0
374,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
376,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
378,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
385,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
386,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
390,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
391,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
395,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1
396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
398,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
399,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
400,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
401,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
402,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
406,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
407,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
408,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
414,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
417,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
418,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
419,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
420,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
426,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
428,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
430,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
431,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
433,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
434,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
435,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1
436,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1
438,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
439,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
441,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
443,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
444,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
446,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
447,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
448,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
449,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
450,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
453,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1
457,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
458,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
460,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
463,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
466,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
471,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
472,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
476,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
477,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
479,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
481,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
484,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
488,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
489,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
490,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
