,Redis,PostgreSQL,Oracle,MySQL,SQL Server,MongoDB,SQLite,Cassandra
992,0,0,0,0,0,1,0,0
995,0,0,0,0,0,0,1,0
997,0,1,0,1,0,0,0,0
999,1,0,1,0,1,0,0,0
1002,0,0,0,0,0,1,0,0
1003,0,0,1,1,0,0,0,0
1004,0,0,0,1,0,0,0,0
1005,0,0,1,1,0,1,0,0
1007,0,0,0,0,0,1,0,1
1009,0,0,0,0,1,0,0,0
1010,0,0,0,1,0,0,1,0
1011,0,0,0,1,0,0,0,0
1013,0,0,0,1,0,0,0,0
1014,0,0,0,1,1,0,0,0
1015,0,1,1,1,1,0,1,0
1016,1,1,0,1,1,1,0,0
1018,0,0,0,1,0,0,1,0
1019,0,0,0,1,0,0,1,0
1020,0,0,0,1,0,0,0,0
1022,0,0,0,0,1,0,0,0
1023,0,1,0,0,0,0,1,0
1024,0,1,1,1,0,0,0,0
1026,0,0,0,0,1,0,0,0
1028,0,0,0,0,1,0,0,0
1030,1,1,0,1,0,0,1,0
1031,0,0,0,0,0,1,1,0
1032,0,0,0,1,0,0,0,0
1033,0,1,0,1,0,0,1,0
1034,0,1,0,1,1,1,0,0
1035,0,0,0,1,0,0,0,0
1038,0,0,0,1,0,0,0,0
1039,0,1,0,0,0,1,0,0
1040,1,1,0,1,0,0,1,0
1043,0,0,0,0,1,0,0,0
1044,0,0,0,0,1,0,0,0
1046,1,1,0,0,0,0,1,0
1051,1,0,0,1,0,0,0,0
1052,0,0,0,1,0,0,0,0
1053,0,1,0,1,0,1,0,0
1054,1,0,1,1,1,1,0,0
1057,0,1,0,1,0,0,0,0
1059,1,0,0,1,1,0,1,0
1060,0,0,0,1,0,1,0,0
1062,0,1,0,0,0,1,0,0
1066,0,0,0,0,1,0,0,0
1067,1,0,0,0,0,1,0,0
1069,0,0,0,1,0,0,1,0
1070,1,0,0,0,1,0,0,0
1071,0,0,0,1,0,0,0,0
1072,0,0,0,1,0,0,1,0
1073,0,1,0,0,0,1,1,0
1075,1,1,0,0,0,0,0,0
1076,0,0,0,0,1,0,0,0
1077,0,0,0,1,0,0,1,0
1079,1,0,0,0,0,0,0,0
1083,0,0,0,0,1,0,0,0
1084,0,1,0,0,0,0,0,0
1085,0,0,0,0,1,1,0,0
1086,0,0,1,0,0,0,1,0
1088,1,1,0,1,1,0,1,0
1090,0,0,1,0,1,0,0,0
1091,1,1,0,1,0,0,1,0
1094,0,0,0,1,0,0,0,0
1096,0,0,0,0,1,0,0,0
1101,0,0,1,1,1,0,0,0
1103,0,0,0,1,0,0,0,0
