,Spark,Xamarin,Hadoop,Node.js,.NET Core,AngularJS,Cordova,Firebase,React
1002,0,0,0,1,0,1,0,0,0
1004,0,1,0,0,1,0,0,0,0
1007,1,0,0,0,0,1,0,1,0
1008,0,0,0,1,0,0,0,0,0
1009,1,0,1,0,1,1,0,0,0
1011,0,0,0,1,0,1,0,0,0
1013,0,1,0,0,0,0,0,0,0
1014,0,0,0,1,0,0,0,0,0
1015,0,0,0,0,0,0,0,1,0
1016,0,0,0,1,1,0,0,0,1
1019,1,0,1,1,0,0,0,0,1
1022,0,0,0,0,1,1,0,0,0
1023,0,0,0,0,0,0,0,1,1
1026,0,0,0,0,1,1,1,1,0
1028,0,0,0,1,0,1,0,0,1
1031,1,0,1,0,0,0,0,0,0
1033,1,0,1,0,1,0,0,0,0
1034,0,1,0,1,0,1,0,0,1
1035,0,0,0,0,0,1,0,0,1
1037,0,0,0,1,0,0,0,0,1
1038,1,0,1,0,0,0,0,0,0
1040,1,0,1,1,0,1,0,0,0
1043,0,0,0,0,1,1,0,0,0
1044,0,1,0,0,1,1,1,0,1
1052,0,0,0,1,0,0,0,0,0
1053,0,0,0,0,0,0,0,1,1
1054,0,0,0,1,0,1,0,0,0
1055,0,0,0,1,0,0,0,0,0
1059,0,0,0,0,1,1,0,0,1
1060,0,1,0,0,0,0,0,1,0
1063,1,0,0,0,0,0,0,0,0
1066,0,0,0,0,0,1,0,0,1
1069,0,0,0,1,0,1,0,0,1
1070,0,0,0,1,1,0,0,0,1
1073,0,0,0,1,1,1,1,1,1
1075,0,0,0,1,0,1,0,0,1
1076,0,0,0,0,1,0,0,0,0
1077,0,0,0,0,0,0,0,1,0
1079,0,0,0,0,1,0,0,0,0
1080,0,1,0,0,0,0,0,0,0
1083,0,0,1,0,0,0,0,0,0
1084,0,0,0,1,0,1,0,1,1
1085,0,0,0,0,1,1,0,0,0
1088,1,0,0,0,0,0,0,0,0
1090,0,0,0,1,0,0,0,0,0
1091,0,0,0,0,0,1,0,0,0
1094,0,0,0,1,0,0,0,0,1
1095,0,0,0,0,0,0,0,0,1
1096,0,0,0,0,1,0,0,0,0
1104,0,0,0,0,0,1,0,0,1
1111,1,0,0,0,1,0,0,1,1
1117,0,0,0,1,0,0,0,0,1
1119,0,0,0,0,0,0,0,1,1
1124,0,0,0,1,0,0,0,0,1
1125,0,0,0,0,0,0,0,0,1
1127,0,0,0,0,0,1,0,0,0
1129,0,0,0,1,1,1,0,0,1
1138,0,1,0,0,1,0,0,0,1
1139,0,0,0,1,0,0,0,1,1
1142,0,1,0,1,1,1,0,0,1
1144,0,0,0,0,0,0,0,0,1
1145,0,0,0,0,0,1,0,0,0
1147,0,0,1,0,1,0,0,0,0
1150,0,1,0,1,1,0,0,0,1
1156,0,0,0,0,1,0,0,0,0
1159,0,0,0,1,0,1,0,1,0
1162,0,0,0,0,1,0,0,0,0
1164,0,0,0,0,1,0,0,0,0
1165,0,0,0,1,0,0,0,0,1
1166,1,1,1,1,0,1,1,1,0
1167,0,0,0,1,1,1,1,1,1
1169,0,0,0,0,0,1,0,0,0
1171,0,0,0,1,0,0,0,0,0
1175,0,0,0,0,1,0,0,0,0
