,Spark,React,.NET Core,Firebase,AngularJS,Node.js,Hadoop,Cordova,Xamarin
1675,0,0,1,0,0,1,0,0,0
1676,0,0,1,0,0,0,0,0,0
1682,0,0,1,0,0,0,0,0,0
1684,1,0,0,0,0,1,1,0,0
1687,0,0,0,0,1,0,0,0,0
1692,0,0,0,0,1,1,0,0,0
1694,0,0,1,0,0,0,0,0,0
1695,0,0,1,0,0,0,0,0,0
1702,0,0,0,0,1,0,0,0,0
1703,0,0,1,0,1,1,0,0,1
1705,0,0,0,0,1,0,0,0,0
1706,0,0,0,0,0,1,0,1,0
1708,0,0,0,0,1,1,0,0,0
1712,0,0,0,0,1,0,0,0,0
1713,0,0,0,0,1,1,0,0,0
1715,0,0,0,0,0,1,0,0,0
1716,0,0,0,0,0,1,0,0,0
1722,0,1,1,0,0,0,0,0,0
1724,0,1,0,0,1,1,0,0,0
1726,0,0,0,0,1,0,0,0,1
1732,0,1,0,0,0,0,0,0,0
1736,0,0,1,0,1,1,0,0,0
1737,0,0,1,0,0,0,0,0,1
